ilanNo,brutM2,oda,fiyat,ilanBasligi,emlak,emlaktipi,ilce,url,ilcee,index,page,semt
998393043,90,2+1,1.850.000,ATAŞEHIR HASTANELER BOLGESI SIFIR SATILIK 2+1BOŞ ARAC TAKAS OLUR,,Daire,Küçükbakkalköy,https://www.sahibinden.com/ilan/emlak-konut-satilik-atasehir-hastaneler-bolgesi-sifir-satilik-2-plus1bos-arac-takas-olur-998393043/detay,istanbul-atasehir,1,https://www.sahibinden.com/son-1-ay/istanbul-atasehir?1=1&viewType=Classic&category=16623&pagingSize=50,KüçükbakkalköyMh.
1007313843,189,3+1,5.350.000,YENİ PORTFÖY.TOWERLAND 3381D BLOK HAVUZ CEPHE 3+1 SATILIK 189 M2,,Daire,Ataşehir,https://www.sahibinden.com/ilan/emlak-konut-satilik-yeni-portfoy.towerland-3381d-blok-havuz-cephe-3-plus1-satilik-189-m2-1007313843/detay,istanbul-atasehir,1,https://www.sahibinden.com/son-1-ay/istanbul-atasehir?1=1&viewType=Classic&category=16623&pagingSize=50,AtatürkMh.
1007309031,150,3+1,2.500.000,EMAAR SQUARE KARŞISINDA..TAHRALI ÇAMLICA SİTESİNDE..3+1..150 M2,,Daire,Örnek,https://www.sahibinden.com/ilan/emlak-konut-satilik-emaar-square-karsisinda..tahrali-camlica-sitesinde..3-plus1..150-m2-1007309031/detay,istanbul-atasehir,1,https://www.sahibinden.com/son-1-ay/istanbul-atasehir?1=1&viewType=Classic&category=16623&pagingSize=50,FetihMah.
1007307063,80,1+1,1.300.000,YEDİYETE ÜNİ.ARKA KAPIDA YÜKSEK KİRA GETİRİLİ LÜX 1+1 DUBLEKS,,Daire,Kayışdağı,https://www.sahibinden.com/ilan/emlak-konut-satilik-yediyete-uni.arka-kapida-yuksek-kira-getirili-lux-1-plus1-dubleks-1007307063/detay,istanbul-atasehir,1,https://www.sahibinden.com/son-1-ay/istanbul-atasehir?1=1&viewType=Classic&category=16623&pagingSize=50,İnönüMh.
1007292946,130,3+1,1.450.000,ATACAN'DAN 3+1 SİTEDE HARİKA KONUMDA KAÇIRILMAZ FIRSAT DAİRESİ,,Daire,İçerenköy,https://www.sahibinden.com/ilan/emlak-konut-satilik-atacan-dan-3-plus1-sitede-harika-konumda-kacirilmaz-firsat-dairesi-1007292946/detay,istanbul-atasehir,1,https://www.sahibinden.com/son-1-ay/istanbul-atasehir?1=1&viewType=Classic&category=16623&pagingSize=50,İçerenköyMh.
1007286205,185,3+1,3.950.000,ATAŞEHİR ATA BLOKLARI - TADİLATLI YÜKSEK KAT - ÇİFT BANYOLU,,Daire,Ataşehir,https://www.sahibinden.com/ilan/emlak-konut-satilik-atasehir-ata-bloklari-tadilatli-yuksek-kat-cift-banyolu-1007286205/detay,istanbul-atasehir,1,https://www.sahibinden.com/son-1-ay/istanbul-atasehir?1=1&viewType=Classic&category=16623&pagingSize=50,AtatürkMh.
1007284105,100,2+1,1.975.000,SİTE İÇİ 4.KAT GENİŞ FERAH 2+1 BALKONLU 100 M2,,Daire,Örnek,https://www.sahibinden.com/ilan/emlak-konut-satilik-site-ici-4.kat-genis-ferah-2-plus1-balkonlu-100-m2-1007284105/detay,istanbul-atasehir,1,https://www.sahibinden.com/son-1-ay/istanbul-atasehir?1=1&viewType=Classic&category=16623&pagingSize=50,ÖrnekMh.
1007253957,70,1+1,2.500.000,NOVA ATAŞEHİR UPHİLL COURT B ADA GÜNCEL İLAN ARA KAT 1+1,,Daire,Barbaros,https://www.sahibinden.com/ilan/emlak-konut-satilik-nova-atasehir-uphill-court-b-ada-guncel-ilan-ara-kat-1-plus1-1007253957/detay,istanbul-atasehir,1,https://www.sahibinden.com/son-1-ay/istanbul-atasehir?1=1&viewType=Classic&category=16623&pagingSize=50,
1007262840,140,3+1,2.565.000,3+1 Satılık daire Kucukbakkalkoy,,Daire,Küçükbakkalköy,https://www.sahibinden.com/ilan/emlak-konut-satilik-3-plus1-satilik-daire-kucukbakkalkoy-1007262840/detay,istanbul-atasehir,1,https://www.sahibinden.com/son-1-ay/istanbul-atasehir?1=1&viewType=Classic&category=16623&pagingSize=50,KüçükbakkalköyMh.
1007255064,140,3+1,4.950.000,GÜNCEL..ATAŞEHİR UPHİLL COURT B ADA HAVUZ CEPHE 3+1 SATILIK,,Daire,Barbaros,https://www.sahibinden.com/ilan/emlak-konut-satilik-guncel..atasehir-uphill-court-b-ada-havuz-cephe-3-plus1-satilik-1007255064/detay,istanbul-atasehir,1,https://www.sahibinden.com/son-1-ay/istanbul-atasehir?1=1&viewType=Classic&category=16623&pagingSize=50,
1007243170,140,3+1,2.800.000,İcerenkoy 3+1 satılık daire,,Daire,İçerenköy,https://www.sahibinden.com/ilan/emlak-konut-satilik-icerenkoy-3-plus1-satilik-daire-1007243170/detay,istanbul-atasehir,1,https://www.sahibinden.com/son-1-ay/istanbul-atasehir?1=1&viewType=Classic&category=16623&pagingSize=50,İçerenköyMh.
1007245818,75,2+1,955.000,ATAŞEHİR KAYIŞDAĞI MAH SATILIK 2+1 75 M2 ARAKAT DAİRE,,Daire,Kayışdağı,https://www.sahibinden.com/ilan/emlak-konut-satilik-atasehir-kayisdagi-mah-satilik-2-plus1-75-m2-arakat-daire-1007245818/detay,istanbul-atasehir,1,https://www.sahibinden.com/son-1-ay/istanbul-atasehir?1=1&viewType=Classic&category=16623&pagingSize=50,KayışdağıMh.
1007233839,75,2+1,1.140.000,DUMANKAYA YA KOMŞU 2. KAT ŞİRİN 2+1,,Daire,Örnek,https://www.sahibinden.com/ilan/emlak-konut-satilik-dumankaya-ya-komsu-2-kat-sirin-2-plus1-1007233839/detay,istanbul-atasehir,1,https://www.sahibinden.com/son-1-ay/istanbul-atasehir?1=1&viewType=Classic&category=16623&pagingSize=50,ÖrnekMh.
1007239453,95,2+1,650.000,KAYIŞDAĞI MAH.90m2 YENİ DUBLEKS DAİRE,,Daire,Kayışdağı,https://www.sahibinden.com/ilan/emlak-konut-satilik-kayisdagi-mah.90m2-yeni-dubleks-daire-1007239453/detay,istanbul-atasehir,1,https://www.sahibinden.com/son-1-ay/istanbul-atasehir?1=1&viewType=Classic&category=16623&pagingSize=50,KayışdağıMh.
1007235754,90,2+1,1.125.000,SAHİBİNDEN SATILIK 2+1 SIFIR DAİRE,,Daire,Kayışdağı,https://www.sahibinden.com/ilan/emlak-konut-satilik-sahibinden-satilik-2-plus1-sifir-daire-1007235754/detay,istanbul-atasehir,1,https://www.sahibinden.com/son-1-ay/istanbul-atasehir?1=1&viewType=Classic&category=16623&pagingSize=50,KayışdağıMh.
1007232633,120,3+1,2.500.000,Ataşehir Prof. Necmettin Erbakan Cad.Üzeri 3+1 Satılık Daire,,Daire,İçerenköy,https://www.sahibinden.com/ilan/emlak-konut-satilik-atasehir-prof-necmettin-erbakan-cad.uzeri-3-plus1-satilik-daire-1007232633/detay,istanbul-atasehir,1,https://www.sahibinden.com/son-1-ay/istanbul-atasehir?1=1&viewType=Classic&category=16623&pagingSize=50,İçerenköyMh.
1007233150,110,2+1,3.000.000,BARAJYOLU KONAK RESİDENCE 2+1 ULTRA LÜKS 110 M2 3.000.000 TL,,Daire,Ataşehir,https://www.sahibinden.com/ilan/emlak-konut-satilik-barajyolu-konak-residence-2-plus1-ultra-luks-110-m2-3.000.000-tl-1007233150/detay,istanbul-atasehir,1,https://www.sahibinden.com/son-1-ay/istanbul-atasehir?1=1&viewType=Classic&category=16623&pagingSize=50,YenişehirMh.
1007139240,210,4+2,2.450.000,Fırsat ! Genç Binada 210m2 4+2 Teraslı Çok Ferah Geniş Dubleks,,Daire,Küçükbakkalköy,https://www.sahibinden.com/ilan/emlak-konut-satilik-firsat-genc-binada-210m2-4-plus2-terasli-cok-ferah-genis-dubleks-1007139240/detay,istanbul-atasehir,1,https://www.sahibinden.com/son-1-ay/istanbul-atasehir?1=1&viewType=Classic&category=16623&pagingSize=50,KüçükbakkalköyMh.
996492195,130,2+1,1.400.000,Acil fırsat daire,,Daire,İçerenköy,https://www.sahibinden.com/ilan/emlak-konut-satilik-acil-firsat-daire-996492195/detay,istanbul-atasehir,1,https://www.sahibinden.com/son-1-ay/istanbul-atasehir?1=1&viewType=Classic&category=16623&pagingSize=50,İçerenköyMh.
1007134709,100,2+1,1.950.000,acill satılık kelepir,,Daire,Örnek,https://www.sahibinden.com/ilan/emlak-konut-satilik-acill-satilik-kelepir-1007134709/detay,istanbul-atasehir,1,https://www.sahibinden.com/son-1-ay/istanbul-atasehir?1=1&viewType=Classic&category=16623&pagingSize=50,EsatpaşaMh.
1007145452,80,2+1,1.000.000,ATAŞEHİR ESATPAŞA MAHALLESİNDE SATILIK ARA KAT 2+1 DAİRE,,Daire,Örnek,https://www.sahibinden.com/ilan/emlak-konut-satilik-atasehir-esatpasa-mahallesinde-satilik-ara-kat-2-plus1-daire-1007145452/detay,istanbul-atasehir,1,https://www.sahibinden.com/son-1-ay/istanbul-atasehir?1=1&viewType=Classic&category=16623&pagingSize=50,EsatpaşaMh.
1006939543,70,1+1,1.050.000,SİTEDE SATILIK 1+1 DAİRE.,,Daire,Örnek,https://www.sahibinden.com/ilan/emlak-konut-satilik-sitede-satilik-1-plus1-daire-1006939543/detay,istanbul-atasehir,1,https://www.sahibinden.com/son-1-ay/istanbul-atasehir?1=1&viewType=Classic&category=16623&pagingSize=50,EsatpaşaMh.
1007124930,85,2+1,890.000,ASIA EMLAKTAN KOZYATAĞI METRO E-5 YÜRÜME 5 DK İSKANLI 2+1,,Daire,İçerenköy,https://www.sahibinden.com/ilan/emlak-konut-satilik-asia-emlaktan-kozyatagi-metro-e-5-yurume-5-dk-iskanli-2-plus1-1007124930/detay,istanbul-atasehir,1,https://www.sahibinden.com/son-1-ay/istanbul-atasehir?1=1&viewType=Classic&category=16623&pagingSize=50,İçerenköyMh.
